(1746.413596, 2685.5), (1746.971937517634, 2683.40433660694), (1748.120139169941, 2679.160637062995), (1749.6922252960153, 2673.380606503961), (1751.527123, 2666.657987)
(1751.527123, 2666.657987), (1766.4245035496701, 2569.9036405928414), (1741.2214776002086, 2505.8979721480273), (1664.2594999482953, 2468.754598932264), (1521.0, 2451.528761)
(1521.0, 2451.528761), (1480.7020165071983, 2449.729499467274), (1438.2246630482846, 2448.6181798116586), (1390.5080337614713, 2448.1616830098283), (1334.0, 2448.324559)
(1334.0, 2448.324559), (1246.0393995356255, 2449.639959782069), (1152.998332814625, 2452.9071510555477), (1031.7889475482655, 2459.2488517816896), (855.5, 2469.998278)
(855.5, 2469.998278), (674.5684093085152, 2480.376942256621), (532.6259487767009, 2486.103009078618), (426.61652451891393, 2487.1196404482607), (352.0, 2483.423715)
(352.0, 2483.423715), (226.49530997397144, 2456.062279900624), (136.1595350418062, 2400.4245461716982), (81.47968383859481, 2311.9585781619517), (64.309302, 2182.5)
(64.309302, 2182.5), (71.5881045631389, 2114.253486935833), (91.81624043380535, 2051.5794543801762), (126.82972229306968, 1993.815118877826), (179.030821, 1939.473464)
(179.030821, 1939.473464), (181.481443393, 1937.363571464), (183.93698671450002, 1935.249442196), (186.39499050025, 1933.133194562), (188.872678, 1931.0)
(188.872678, 1931.0), (206.80813983475, 1930.9958991049998), (224.74360166949998, 1930.99179821), (242.661110089, 1930.9877014200001), (260.686339, 1930.98358)
(260.686339, 1930.98358), (385.2006712002204, 1930.0060126538765), (494.11011429866755, 1927.2871049353523), (582.9559733605622, 1923.0496524552334), (647.985287, 1917.455546)
(647.985287, 1917.455546), (674.7045826670251, 1913.4561201858955), (696.1792493913085, 1908.0609070778196), (715.9130363712238, 1900.1425377097262), (737.544062, 1888.480668)
(737.544062, 1888.480668), (774.308160535241, 1860.4456332477475), (800.1359028107581, 1825.9831559364977), (814.344877874616, 1785.5252474982385), (815.974565, 1739.0)
(815.974565, 1739.0), (811.3349001665792, 1716.583164550403), (802.2446061305737, 1696.2857677825339), (788.6273374421564, 1678.335218726643), (770.25, 1662.860727)
(770.25, 1662.860727), (767.4489188608824, 1660.8632604529228), (765.1470609176151, 1659.0382554397493), (763.5883594646691, 1657.590911784148), (763.01219, 1656.719526)
(763.01219, 1656.719526), (769.3619228253881, 1647.5485655701377), (783.6303251957474, 1628.4493753548084), (798.4781337550871, 1609.1156995338572), (806.309219, 1599.588775)
(806.309219, 1599.588775), (812.2088915480949, 1600.7548583226705), (824.0184853476858, 1604.272775721151), (835.9294961390281, 1608.2922295938279), (842.321177, 1611.028233)
(842.321177, 1611.028233), (842.3570021579028, 1615.1969889477336), (841.8461791862574, 1625.9840370916231), (840.8885318795991, 1641.6261673250324), (839.571429, 1660.571429)
(839.571429, 1660.571429), (838.2359094183514, 1679.7048962347026), (837.2643423675008, 1695.3404081523988), (836.7406310535227, 1705.9496926703603), (836.750251, 1710.045313)
(836.750251, 1710.045313), (866.0689661521901, 1713.3737756535554), (928.1675123639043, 1719.6056960039055), (988.4115647095389, 1725.3584952459837), (1015.738573, 1727.594761)
(1015.738573, 1727.594761), (1016.2330857799502, 1724.1627102294665), (1017.1516930910357, 1715.2082257063564), (1018.3699578357787, 1702.0102575813673), (1019.770389, 1685.752835)
(1019.770389, 1685.752835), (1021.2964770261128, 1668.3123744695465), (1022.5981559406349, 1655.207930102535), (1023.6314065489091, 1646.886644281934), (1024.356558, 1643.765313)
(1024.356558, 1643.765313), (1026.099565550241, 1643.4780298287305), (1030.0013984214368, 1643.238346133021), (1035.4787787119944, 1643.0713669704116), (1042.0, 1643.001658)
(1042.0, 1643.001658), (1048.564453125, 1642.95100884375), (1054.2355945649447, 1642.834659861618), (1058.41178233906, 1642.6700658199256), (1060.5, 1642.473342)
(1060.5, 1642.473342), (1063.167031087602, 1642.6400210387603), (1065.1660840308873, 1647.1072907953333), (1067.3721506115503, 1659.2893839355), (1070.661443, 1682.605622)
(1070.661443, 1682.605622), (1072.7978067297688, 1697.7825257810623), (1074.6510800820865, 1710.2329975478401), (1076.027325265625, 1718.713096484375), (1076.741696, 1722.020144)
(1076.741696, 1722.020144), (1083.1997635976268, 1721.6647404871853), (1100.1706743429563, 1720.2288420145005), (1124.9321118335756, 1717.9556475061145), (1155.0, 1715.066598)
(1155.0, 1715.066598), (1174.4525, 1713.161432951), (1193.846875, 1711.2619606262501), (1213.144375, 1709.37197617525), (1232.5, 1707.476299)
(1232.5, 1707.476299), (1232.58009324725, 1706.4986931425), (1232.66026682875, 1705.5201067375), (1232.7405207445001, 1704.540539785), (1232.821337, 1703.554109)
(1232.821337, 1703.554109), (1232.7391532407887, 1698.519951983355), (1232.2770615595848, 1687.6217845702947), (1231.5054792724634, 1672.377484985475), (1230.487102, 1654.185909)
(1230.487102, 1654.185909), (1229.2021919463066, 1631.2768489546854), (1228.584680136365, 1617.1793423686677), (1228.5894424481062, 1609.9678487501067), (1229.165765, 1607.519062)
(1229.165765, 1607.519062), (1235.4346802987109, 1603.698585283498), (1247.7429919922863, 1596.7229476715931), (1259.945149538014, 1590.0210553107477), (1265.939316, 1587.0)
(1265.939316, 1587.0), (1268.551835775529, 1589.9423029793948), (1275.108815300214, 1597.9290115598285), (1284.5545816068866, 1609.657807195454), (1295.918611, 1623.931283)
(1295.918611, 1623.931283), (1303.2768465969998, 1633.2195006744996), (1310.5985104464999, 1642.46155424525), (1317.8836025485, 1651.6574437122501), (1325.176009, 1660.862566)
